Child, Parent
CONFIG_SECURITY, CONFIG_DEBUG_CREDENTIALS
CONFIG_MEMORY_HOTPLUG, CONFIG_SMP
CONFIG_PM_SLEEP_SMP, CONFIG_SMP
CONFIG_KEYS, CONFIG_SYSCTL
CONFIG_SECURITY_SELINUX, CONFIG_DEBUG_CREDENTIALS
CONFIG_MAGIC_SYSRQ, CONFIG_SYSCTL
CONFIG_X86, CONFIG_SYSCTL
MAX_DMA_CHANNELS, CONFIG_PROC_FS
CONFIG_PROC_FS, CONFIG_SCHED_AUTOGROUP
CONFIG_KEXEC, CONFIG_PRINTK
CONFIG_MMU, CONFIG_SYSCTL
CONFIG_AIO, CONFIG_MMU
CONFIG_AIO, CONFIG_SYSCTL
CONFIG_DETECT_HUNG_TASK, CONFIG_SYSCTL
CONFIG_BLOCK, CONFIG_SYSCTL
CONFIG_RT_MUTEXES, CONFIG_SYSCTL
CONFIG_VIRT_CPU_ACCOUNTING, CONFIG_NO_HZ
CONFIG_TRACE_IRQFLAGS, CONFIG_PROVE_LOCKING
CONFIG_LOCKDEP, CONFIG_SMP
CONFIG_GENERIC_PENDING_IRQ, CONFIG_SMP
CONFIG_AUTO_IRQ_AFFINITY, CONFIG_SMP
is_affinity_mask_valid, CONFIG_SMP
ACTUAL_NR_IRQS, CONFIG_GENERIC_IRQ_SHOW
CONFIG_GENERIC_IRQ_SHOW_LEVEL, CONFIG_GENERIC_IRQ_SHOW
CONFIG_KALLSYMS_ALL, CONFIG_KALLSYMS
__ARCH_WANT_KPROBES_INSN_SLOT, CONFIG_OPTPROBES
CONFIG_DEBUG_FS, CONFIG_PM_SLEEP
CONFIG_HOTPLUG, CONFIG_SYSCTL
CONFIG_LOCK_STAT, CONFIG_SYSCTL
HARDIRQ_VERBOSE, CONFIG_PROVE_LOCKING
HARDIRQ_VERBOSE, CONFIG_TRACE_IRQFLAGS
SOFTIRQ_VERBOSE, CONFIG_PROVE_LOCKING
SOFTIRQ_VERBOSE, CONFIG_TRACE_IRQFLAGS
RECLAIM_VERBOSE, CONFIG_PROVE_LOCKING
RECLAIM_VERBOSE, CONFIG_TRACE_IRQFLAGS
CONFIG_UNUSED_SYMBOLS, CONFIG_MODVERSIONS
CONFIG_MODULE_FORCE_UNLOAD, CONFIG_MODULE_UNLOAD
ARCH_RELOCATES_KCRCTAB, CONFIG_MODVERSIONS
CONFIG_KALLSYMS, CONFIG_SYSFS
CONFIG_TRACING, CONFIG_SYSCTL
CONFIG_FTRACE_MCOUNT_RECORD, CONFIG_DYNAMIC_FTRACE
CONFIG_NET, CONFIG_SYSCTL_SYSCALL
CONFIG_S390, CONFIG_SYSCTL
CONFIG_HIBERNATION, CONFIG_PM_SLEEP
CONFIG_HIBERNATION, CONFIG_PM_AUTOSLEEP
CONFIG_SUSPEND, CONFIG_PM_SLEEP
CONFIG_SUSPEND, CONFIG_PM_AUTOSLEEP
CONFIG_PM_DEBUG, CONFIG_PM_SLEEP
CONFIG_PM_SLEEP_DEBUG, CONFIG_PM_SLEEP
CONFIG_PM_AUTOSLEEP, CONFIG_PM_SLEEP
CONFIG_PM_WAKELOCKS, CONFIG_PM_SLEEP
CONFIG_HIGHMEM, CONFIG_SYSCTL
CONFIG_HAVE_EFFICIENT_UNALIGNED_ACCESS, CONFIG_PRINTK
CONFIG_BOOT_PRINTK_DELAY, CONFIG_PRINTK
CONFIG_SECURITY_DMESG_RESTRICT, CONFIG_PRINTK
CONFIG_PRINTK_TIME, CONFIG_PRINTK
CONFIG_HAVE_ARCH_TRACEHOOK, CONFIG_COMPAT
CONFIG_SCHED_AUTOGROUP, CONFIG_SYSCTL
tsk_is_polling, CONFIG_SMP
CONFIG_DEBUG_PREEMPT, CONFIG_PREEMPT
CONFIG_SCHED_SMT, CONFIG_SMP
CONFIG_SCHED_MC, CONFIG_SMP
CONFIG_SCHED_BOOK, CONFIG_SMP
CONFIG_SPARC, CONFIG_SYSCTL
CONFIG_BSD_PROCESS_ACCT, CONFIG_SYSCTL
CONFIG_CHR_DEV_SG, CONFIG_SYSCTL
CONFIG_LOCKUP_DETECTOR, CONFIG_SYSCTL
CONFIG_INOTIFY_USER, CONFIG_SYSCTL
CONFIG_SPARC64, CONFIG_SYSCTL
__hppa__, CONFIG_SYSCTL
CONFIG_PROC_SYSCTL, CONFIG_SYSCTL
CONFIG_EPOLL, CONFIG_SYSCTL
HAVE_ARCH_PICK_MMAP_LAYOUT, CONFIG_SYSCTL
CONFIG_COMPACTION, CONFIG_SYSCTL
CONFIG_LATENCYTOP, CONFIG_SYSCTL
CONFIG_BLK_DEV_INITRD, CONFIG_SYSCTL
CONFIG_STACK_TRACER, CONFIG_SYSCTL
CONFIG_MATHEMU, CONFIG_SYSCTL
CONFIG_MATHEMU, CONFIG_S390
CONFIG_X86_LOCAL_APIC, CONFIG_SYSCTL
CONFIG_DEBUG_STACKOVERFLOW, CONFIG_X86
CONFIG_DEBUG_STACKOVERFLOW, CONFIG_SYSCTL
CONFIG_ACPI_SLEEP, CONFIG_SYSCTL
CONFIG_RCU_TORTURE_TEST, CONFIG_SYSCTL
CONFIG_PERF_EVENTS, CONFIG_SYSCTL
CONFIG_KMEMCHECK, CONFIG_SYSCTL
CONFIG_HUGETLB_PAGE, CONFIG_SYSCTL
CONFIG_X86_32, CONFIG_SYSCTL
CONFIG_UML, CONFIG_SYSCTL
CONFIG_SUPERH, CONFIG_SYSCTL
CONFIG_VSYSCALL, CONFIG_SYSCTL
CONFIG_MEMORY_FAILURE, CONFIG_SYSCTL
CONFIG_BINFMT_MISC, CONFIG_SYSCTL
CONFIG_BINFMT_MISC_MODULE, CONFIG_SYSCTL
CONFIG_FILE_LOCKING, CONFIG_SYSCTL
CONFIG_DNOTIFY, CONFIG_SYSCTL
CONFIG_PPC, CONFIG_SYSCTL
CONFIG_TILE, CONFIG_SYSCTL
CONFIG_TICK_ONESHOT, CONFIG_GENERIC_CLOCKEVENTS
CONFIG_TICK_ONESHOT, CONFIG_GENERIC_CLOCKEVENTS_BROADCAST
CONFIG_GENERIC_CLOCKEVENTS_BROADCAST, CONFIG_GENERIC_CLOCKEVENTS
CONFIG_X86_64, CONFIG_BLK_DEV_IO_TRACE
CONFIG_HAVE_FUNCTION_TRACE_MCOUNT_TEST, CONFIG_DYNAMIC_FTRACE
UNUSED, CONFIG_STACKTRACE
CONFIG_EVENT_TRACE_TEST_SYSCALLS, CONFIG_FTRACE_STARTUP_TEST
CONFIG_TASK_IO_ACCOUNTING, CONFIG_TASK_XACCT
